"prob","state","week","id"
32,"1","1","Athlete 1"
33.7,"1","2","Athlete 1"
32.4,"1","3","Athlete 1"
32.8,"1","4","Athlete 1"
32.1,"1","5","Athlete 1"
34.5,"1","6","Athlete 1"
34.4,"1","7","Athlete 1"
36.3,"1","8","Athlete 1"
42.8,"1","9","Athlete 1"
39.3,"1","10","Athlete 1"
48,"2","1","Athlete 1"
50.1,"2","2","Athlete 1"
51.1,"2","3","Athlete 1"
50.4,"2","4","Athlete 1"
58.3,"2","5","Athlete 1"
55.5,"2","6","Athlete 1"
60.3,"2","7","Athlete 1"
57.4,"2","8","Athlete 1"
50.6,"2","9","Athlete 1"
56.1,"2","10","Athlete 1"
20,"3","1","Athlete 1"
16.2,"3","2","Athlete 1"
16.5,"3","3","Athlete 1"
16.8,"3","4","Athlete 1"
9.6,"3","5","Athlete 1"
10,"3","6","Athlete 1"
5.3,"3","7","Athlete 1"
6.3,"3","8","Athlete 1"
6.6,"3","9","Athlete 1"
4.6,"3","10","Athlete 1"
90.3,"1","1","Athlete 2"
90,"1","2","Athlete 2"
88.1,"1","3","Athlete 2"
88.7,"1","4","Athlete 2"
88.1,"1","5","Athlete 2"
88.4,"1","6","Athlete 2"
87.3,"1","7","Athlete 2"
89.2,"1","8","Athlete 2"
85.7,"1","9","Athlete 2"
87.4,"1","10","Athlete 2"
5,"2","1","Athlete 2"
5.2,"2","2","Athlete 2"
7.6,"2","3","Athlete 2"
6.5,"2","4","Athlete 2"
6.1,"2","5","Athlete 2"
5.8,"2","6","Athlete 2"
5.9,"2","7","Athlete 2"
8.1,"2","8","Athlete 2"
13.7,"2","9","Athlete 2"
11.4,"2","10","Athlete 2"
4.7,"3","1","Athlete 2"
4.8,"3","2","Athlete 2"
4.3,"3","3","Athlete 2"
4.8,"3","4","Athlete 2"
5.8,"3","5","Athlete 2"
5.8,"3","6","Athlete 2"
6.8,"3","7","Athlete 2"
2.7,"3","8","Athlete 2"
0.6,"3","9","Athlete 2"
1.2,"3","10","Athlete 2"
12,"1","1","Athlete 3"
11.1,"1","2","Athlete 3"
12.2,"1","3","Athlete 3"
14.1,"1","4","Athlete 3"
23.2,"1","5","Athlete 3"
23,"1","6","Athlete 3"
31.2,"1","7","Athlete 3"
23.3,"1","8","Athlete 3"
18.6,"1","9","Athlete 3"
33.9,"1","10","Athlete 3"
7.9,"2","1","Athlete 3"
8.9,"2","2","Athlete 3"
7.9,"2","3","Athlete 3"
8.2,"2","4","Athlete 3"
13.9,"2","5","Athlete 3"
14.1,"2","6","Athlete 3"
24,"2","7","Athlete 3"
16.7,"2","8","Athlete 3"
12.8,"2","9","Athlete 3"
25.1,"2","10","Athlete 3"
80.1,"3","1","Athlete 3"
80,"3","2","Athlete 3"
79.9,"3","3","Athlete 3"
77.7,"3","4","Athlete 3"
62.9,"3","5","Athlete 3"
62.9,"3","6","Athlete 3"
44.8,"3","7","Athlete 3"
60,"3","8","Athlete 3"
68.6,"3","9","Athlete 3"
41,"3","10","Athlete 3"
